,Unnamed: 0,date,交通运输,交通工具,交通,上海封城,上海封控,封城,破产,海运,出口,货运,经济衰退,物流,快递,上海物流,上海快递,空调,上海空调
100,100,2022-01-09,288,485,999,157,0,1065,434,246,416,247,186,2431,27594,63,84,3429,0
101,101,2022-01-10,370,511,1065,159,0,900,478,373,536,269,154,2972,30960,153,142,2934,0
102,102,2022-01-11,356,528,1125,167,0,883,458,326,534,335,138,3063,32197,153,154,3230,0
103,103,2022-01-12,351,491,1087,150,0,930,448,282,436,372,167,3142,34735,167,157,3726,0
104,104,2022-01-13,358,558,1221,217,0,812,476,306,519,282,159,3087,36907,180,140,3300,0
105,105,2022-01-14,354,563,1161,297,0,701,470,310,519,308,140,3139,37948,165,215,3986,0
106,106,2022-01-15,265,440,1037,251,0,567,416,249,383,297,160,2611,35266,184,196,3380,0
107,107,2022-01-16,290,466,1034,263,0,459,395,273,342,249,155,2592,35277,145,135,3070,0
108,108,2022-01-17,399,559,1193,189,0,493,448,462,507,320,156,3120,40509,139,196,3259,0
109,109,2022-01-18,415,556,1208,153,0,409,533,337,532,303,150,3142,41021,146,187,3751,0
110,110,2022-01-19,419,571,1192,201,0,635,461,320,481,287,132,2953,42125,159,161,3604,0
111,111,2022-01-20,339,587,1162,161,0,499,496,282,475,316,132,3133,43039,169,193,3914,0
112,112,2022-01-21,359,631,1178,137,0,323,502,282,508,318,142,3005,44162,134,167,3348,63
113,113,2022-01-22,261,514,1037,127,0,304,551,256,412,272,136,2592,41259,78,104,4479,0
114,114,2022-01-23,296,491,998,65,0,385,456,252,386,273,136,2286,40929,74,182,4776,0
115,115,2022-01-24,357,591,1148,134,0,538,505,374,463,295,141,2717,45544,127,182,4526,0
116,116,2022-01-25,327,551,1184,74,0,362,447,257,657,413,152,2475,45905,161,158,5446,0
117,117,2022-01-26,308,951,1296,124,0,466,420,280,506,398,134,2203,43275,167,168,6206,0
118,118,2022-01-27,342,580,1276,0,0,541,496,278,490,369,135,2006,40127,183,168,6065,61
119,119,2022-01-28,308,965,1462,61,0,912,461,263,581,557,135,1707,34257,95,135,6035,59
120,120,2022-01-29,290,431,1390,67,0,456,431,268,545,510,146,1487,26864,141,155,6207,59
121,121,2022-01-30,249,537,1211,67,0,300,390,231,439,402,73,1315,20485,73,142,5611,61
122,122,2022-01-31,200,313,1046,74,0,250,331,188,299,354,74,1116,12178,143,134,3958,61
123,123,2022-02-01,229,303,1035,63,0,243,335,182,378,469,59,1058,9355,93,79,3929,0
124,124,2022-02-02,244,345,1013,0,0,227,338,236,321,752,132,1127,9483,139,74,4646,0
125,125,2022-02-03,246,387,1049,126,0,234,379,250,334,655,126,1137,10210,133,91,5198,0
126,126,2022-02-04,250,374,1052,0,0,381,389,239,324,523,138,1173,11047,139,76,4620,59
127,127,2022-02-05,273,431,1095,0,0,375,342,252,402,321,132,1221,11654,87,139,4702,59
128,128,2022-02-06,272,443,1185,61,0,436,393,260,431,313,140,1344,13492,147,73,3886,0
129,129,2022-02-07,350,635,1337,0,0,1030,441,329,635,421,138,2018,18255,167,160,4339,59
130,130,2022-02-08,395,539,1334,0,0,594,473,370,571,446,145,2346,22230,188,155,5351,0
131,131,2022-02-09,417,572,1476,0,0,425,481,353,589,352,147,2595,26887,172,153,5887,66
132,132,2022-02-10,409,604,1498,122,0,395,514,363,776,380,150,2594,31756,162,153,5031,63
133,133,2022-02-11,414,607,1622,131,0,385,499,421,579,389,153,2768,35841,173,170,5253,0
134,134,2022-02-12,328,623,1241,122,0,382,422,320,548,334,139,2473,35266,169,148,4975,61
135,135,2022-02-13,328,662,1237,61,0,341,394,299,410,347,144,2344,35770,153,163,3857,0
136,136,2022-02-14,475,660,1577,66,0,426,546,402,611,589,167,2770,38705,157,179,3965,0
137,137,2022-02-15,400,711,1696,128,0,432,490,379,624,471,148,2774,36568,182,167,4128,0
138,138,2022-02-16,478,695,1681,63,0,528,517,423,568,456,144,2914,35496,201,163,3849,59
139,139,2022-02-17,436,880,1799,66,0,435,540,395,667,385,157,2919,34574,182,166,3452,0
140,140,2022-02-18,443,719,1465,0,0,380,533,431,613,415,150,2786,33935,193,181,4126,0
141,141,2022-02-19,349,622,1373,0,0,367,391,283,579,379,146,2439,31576,169,161,3949,0
142,142,2022-02-20,356,753,1585,0,0,404,436,313,463,304,148,2259,30752,177,108,3951,0
143,143,2022-02-21,569,789,1838,0,0,379,539,396,708,372,149,3392,33447,199,165,5081,0
144,144,2022-02-22,568,846,1791,0,0,323,543,397,714,364,161,2993,33147,182,176,5653,0
145,145,2022-02-23,561,773,1698,0,0,343,555,377,687,364,180,3090,33330,187,189,5583,59
146,146,2022-02-24,504,775,1772,0,0,689,514,435,809,346,155,3024,32966,194,123,5124,0
147,147,2022-02-25,451,641,1366,59,0,459,491,333,650,362,152,2917,33647,189,175,4481,0
148,148,2022-02-26,394,627,1334,0,0,244,409,318,638,332,144,2511,30431,184,123,4922,0
149,149,2022-02-27,390,881,1435,0,0,251,408,310,443,324,153,2320,29081,140,131,5039,0
150,150,2022-02-28,563,878,1847,0,0,316,475,504,736,345,192,3122,31423,164,189,4467,0
151,151,2022-03-01,540,759,1858,143,0,382,536,454,699,408,156,3086,31167,186,177,4749,0
152,152,2022-03-02,500,787,1766,149,0,332,579,442,747,422,165,3313,31915,179,194,4594,0
153,153,2022-03-03,499,781,1705,173,0,322,548,414,657,371,165,3141,32457,180,209,4603,0
154,154,2022-03-04,511,662,1459,231,0,479,493,353,656,325,157,2879,31896,170,227,4599,82
155,155,2022-03-05,389,1089,1343,188,0,393,444,269,449,293,157,2363,28838,191,245,4818,100
156,156,2022-03-06,377,790,1366,220,0,416,456,305,464,294,161,2212,28618,164,248,4680,126
157,157,2022-03-07,533,800,1606,296,0,415,597,457,736,328,219,3029,32174,190,265,4576,126
158,158,2022-03-08,473,1001,1570,453,0,649,533,434,764,323,276,2915,32010,180,272,4415,132
159,159,2022-03-09,508,781,1612,516,0,1107,539,467,677,380,274,2951,33879,171,288,4486,134
160,160,2022-03-10,511,777,1550,2018,0,1078,485,496,634,367,206,2921,34515,195,344,4525,223
161,161,2022-03-11,495,814,1324,23515,0,1824,508,416,580,342,187,2972,36548,191,566,4767,214
162,162,2022-03-12,389,618,1251,6403,0,1260,420,355,521,302,159,2470,32251,194,629,5194,134
163,163,2022-03-13,378,755,1291,6320,0,2365,458,272,485,275,212,2257,31631,223,840,5124,151
164,164,2022-03-14,484,1053,1576,5030,0,3120,496,453,693,346,266,2910,34194,303,1099,5192,148
165,165,2022-03-15,534,905,1612,2970,0,3210,623,450,780,348,225,2924,33635,244,1059,5234,145
166,166,2022-03-16,512,960,1571,2431,0,1701,558,399,777,362,226,2896,34067,265,1070,4773,122
167,167,2022-03-17,534,945,1407,1357,0,2152,513,381,777,327,222,2795,34061,289,1082,4849,118
168,168,2022-03-18,501,1056,1365,1402,0,1789,504,381,796,354,206,2726,32854,258,1039,4757,102
169,169,2022-03-19,434,681,1271,1162,0,1150,462,305,534,299,182,2375,29507,213,963,5054,202
170,170,2022-03-20,403,993,1265,1173,0,1120,456,275,679,284,182,2184,28149,221,1011,4709,163
171,171,2022-03-21,540,1115,1618,1470,0,1154,539,368,597,349,209,2821,32362,309,1171,4555,232
172,172,2022-03-22,579,1113,1524,9030,0,1265,511,433,697,348,199,2733,31150,272,1142,4105,174
173,173,2022-03-23,581,1041,1448,11375,0,1271,517,389,794,358,233,2776,31537,279,1242,3324,182
174,174,2022-03-24,560,906,1632,2563,0,1151,577,418,746,411,204,2858,31790,283,1183,3268,195
175,175,2022-03-25,536,1028,1385,2477,0,1096,560,457,648,376,184,2817,31986,296,1168,3772,253
176,176,2022-03-26,433,987,1296,5648,0,1071,504,333,553,288,189,2304,28632,246,1107,3372,181
177,177,2022-03-27,419,936,1506,22629,0,1457,478,308,585,288,202,2182,28118,246,1152,2541,170
178,178,2022-03-28,523,790,1676,40314,6172,1657,860,400,648,363,271,2867,31716,364,1733,2506,158
179,179,2022-03-29,543,951,1442,19412,3555,1279,673,391,706,376,255,2858,31210,344,1534,5410,166
180,180,2022-03-30,525,1022,1505,14922,2866,1278,577,404,635,340,238,2865,31704,365,1732,3837,164
181,181,2022-03-31,541,975,1463,18141,2819,1358,565,473,642,356,262,2756,32487,365,1720,2535,168
182,182,2022-04-01,489,973,1567,16477,2703,1324,577,419,581,369,233,2605,30887,423,1945,10771,185
0,0,2022-04-02,462,882,1365,13360,1831,1182,552,380,630,323,217,2652,30633,450,1909,18646,189
1,1,2022-04-03,384,569,1152,11421,1337,1086,418,276,482,262,213,2067,26961,417,1680,19158,229
2,2,2022-04-04,359,689,1156,12851,1773,1129,502,303,574,273,176,2094,26575,446,1725,19448,271
3,3,2022-04-05,446,665,1218,11202,2119,1104,586,305,446,272,225,1939,25978,464,2360,16736,296
4,4,2022-04-06,561,774,1424,11945,1960,1236,543,461,664,323,244,2818,31256,601,2868,15808,195
5,5,2022-04-07,531,839,1364,9354,1439,1228,624,485,719,303,294,2893,31161,565,2671,4638,184
6,6,2022-04-08,486,843,1323,12191,2214,1176,629,454,654,334,240,2852,31831,625,2890,6579,105
7,7,2022-04-09,384,970,1243,13545,1243,1129,512,365,539,284,226,2591,29339,639,2239,7338,220
8,8,2022-04-10,478,846,1266,6504,1156,1137,504,339,554,328,390,2574,28891,620,2028,8168,303
9,9,2022-04-11,578,956,1612,6315,1543,1271,691,480,663,358,988,3602,32758,771,2411,8617,287
10,10,2022-04-12,547,880,1448,4289,1151,1234,615,507,732,370,362,3311,32315,730,2459,8514,334
11,11,2022-04-13,532,1006,1455,4729,1115,1146,618,498,845,407,280,3392,33113,753,1986,6850,288
12,12,2022-04-14,524,856,1427,5652,1291,1145,630,461,723,428,245,3258,34908,762,1922,6060,277
13,13,2022-04-15,494,691,1426,4450,1075,1246,657,448,715,392,218,3118,33460,697,1696,5268,340
14,14,2022-04-16,384,672,1207,3482,782,1133,493,325,614,315,190,2581,30357,620,1477,5345,271
15,15,2022-04-17,383,840,1238,3123,735,1122,508,317,520,276,219,2470,28803,635,1492,4904,181
16,16,2022-04-18,521,716,1432,2956,948,1216,588,492,766,346,246,3357,32881,758,1819,5849,190
17,17,2022-04-19,526,911,1421,2607,785,1094,574,449,696,362,240,3249,32106,787,1649,6045,180
18,18,2022-04-20,501,776,1413,2281,694,930,577,485,694,388,205,3214,32394,801,1680,6231,93
19,19,2022-04-21,526,809,1493,2282,628,928,579,465,754,371,255,3174,33325,714,1715,6846,154
20,20,2022-04-22,466,709,1324,2262,954,912,563,460,725,358,223,3141,33557,611,1593,6840,193
21,21,2022-04-23,403,633,1185,2953,890,1028,489,355,639,307,237,2641,31178,533,1442,7527,261
22,22,2022-04-24,473,801,1309,2975,911,1062,532,402,666,367,217,2953,32868,626,1684,7920,295
23,23,2022-04-25,521,776,1418,3135,901,1248,598,479,875,402,335,3111,34431,661,1624,8698,257
24,24,2022-04-26,515,799,1398,2779,713,1153,541,500,721,349,266,3162,34149,577,1705,9333,289
25,25,2022-04-27,459,728,1381,2200,598,923,563,473,762,410,267,3091,35216,790,3810,7111,328
26,26,2022-04-28,494,865,1367,1866,644,738,520,446,698,399,283,3205,35595,806,3429,6776,347
27,27,2022-04-29,465,927,1357,1631,610,632,523,400,697,371,231,3072,34952,877,3304,6817,346
28,28,2022-04-30,386,1004,1161,1324,468,488,421,298,577,325,216,2444,30930,638,2973,7238,300
29,29,2022-05-01,338,536,1151,1195,427,508,456,265,439,277,208,2056,28234,650,2880,7836,305
30,30,2022-05-02,343,776,1111,1235,400,546,420,307,503,296,222,2185,28074,650,3057,8592,300
31,31,2022-05-03,343,746,1135,1262,402,956,435,335,461,306,202,2305,28459,619,3189,9570,271
32,32,2022-05-04,373,1028,1177,1291,408,1078,447,293,606,293,230,2418,29598,672,3427,8808,294
33,33,2022-05-05,495,1039,1358,1510,484,997,510,472,584,358,206,3124,34416,827,3812,8293,300
34,34,2022-05-06,465,803,1347,1498,559,859,520,497,685,365,262,3060,34780,782,3498,9725,280
35,35,2022-05-07,447,871,1228,1393,504,717,526,429,585,411,260,2953,36408,723,3230,10379,282
36,36,2022-05-08,370,737,1164,1215,390,680,487,408,596,318,208,2449,31752,521,3026,8029,270
37,37,2022-05-09,462,712,1304,1476,547,696,518,626,802,347,242,3067,36265,874,3557,10834,264
38,38,2022-05-10,511,816,1330,1457,586,704,591,540,668,438,239,3025,35561,742,3249,15102,277
39,39,2022-05-11,449,838,1242,1398,539,541,620,520,684,367,229,3126,35151,683,3100,17161,262
40,40,2022-05-12,557,849,1312,1497,513,1159,598,506,721,380,229,3078,38618,658,3064,16497,245
41,41,2022-05-13,428,837,1284,1383,482,684,537,495,685,354,222,2943,36667,637,2789,17447,269
42,42,2022-05-14,372,781,1158,1121,350,458,517,377,500,312,206,2449,31382,496,2418,19397,264
43,43,2022-05-15,378,780,1129,1173,381,440,520,379,439,305,206,2343,30724,484,2581,19531,260
44,44,2022-05-16,499,752,1342,1425,474,458,543,536,726,332,236,2943,33754,659,2955,18530,247
45,45,2022-05-17,448,680,1258,1184,382,408,549,513,649,336,269,2916,33488,595,2823,21529,123
46,46,2022-05-18,513,776,1209,1039,379,356,560,482,672,365,243,3073,34484,578,3016,23182,241
47,47,2022-05-19,499,1021,1252,1018,378,307,561,535,719,349,245,3038,35770,541,2885,24242,243
48,48,2022-05-20,413,561,1234,939,339,351,520,412,676,319,261,2933,33577,549,2531,32236,236
49,49,2022-05-21,337,603,1108,957,314,366,458,333,512,298,225,2524,30337,484,2218,39351,236
50,50,2022-05-22,389,729,1109,942,317,366,458,303,491,301,251,2278,29311,473,2211,37898,222
51,51,2022-05-23,410,705,1267,1034,362,345,545,503,668,359,309,3061,32510,559,2584,30107,227
52,52,2022-05-24,489,791,1241,1006,364,351,606,489,684,371,296,2890,31769,540,2394,35611,232
53,53,2022-05-25,497,697,1239,1043,382,342,568,454,707,342,288,2922,32180,520,2235,28091,249
54,54,2022-05-26,475,718,1239,767,341,302,557,478,705,359,295,2992,32937,479,2239,38146,229
55,55,2022-05-27,431,608,1218,661,326,282,517,496,653,337,257,3121,32741,445,2070,53215,228
56,56,2022-05-28,412,561,1132,518,270,281,416,387,467,292,243,2487,29339,1102,1733,70853,208
57,57,2022-05-29,367,585,1111,592,305,344,453,348,423,320,238,2273,28499,1322,1682,76934,212
58,58,2022-05-30,479,777,1274,823,381,303,558,432,684,362,232,2938,31657,1049,2291,59490,208
59,59,2022-05-31,454,608,1264,1523,422,385,548,484,637,328,224,2869,30796,535,2285,52326,204
60,60,2022-06-01,414,610,1210,1835,508,370,579,450,634,299,242,2785,31381,556,2969,65116,205
61,61,2022-06-02,423,586,1246,1405,402,337,575,385,600,335,187,2912,33193,456,1832,80862,181
62,62,2022-06-03,347,771,1069,982,357,313,417,304,419,257,233,2091,29036,362,1203,85876,174
63,63,2022-06-04,388,513,1065,772,326,248,500,288,426,260,265,2282,30560,405,1256,84771,189
64,64,2022-06-05,355,605,1097,1012,410,255,590,347,388,287,288,2346,31314,385,1589,77950,171
65,65,2022-06-06,457,698,1265,1044,437,294,596,431,686,374,264,3150,33490,456,2572,72073,237
66,66,2022-06-07,471,806,1223,847,378,266,554,489,689,358,219,3196,33325,414,1487,54803,183
67,67,2022-06-08,532,758,1255,1168,793,320,596,507,658,352,272,3153,34076,350,1378,52748,170
68,68,2022-06-09,541,681,1263,1481,990,307,519,544,882,352,227,3242,34677,377,1301,62231,174
69,69,2022-06-10,553,618,1268,1584,1043,288,485,424,670,381,267,3015,33380,319,1208,52390,164
