,date,交通工具,家用电器,失业救济金,房地产中介,抵押贷款,风险投资,破产,海运,农业,出口,货运,经济衰退,食品
1145,2022-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,2022-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,2022-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1148,2022-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,2022-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,2022-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,2022-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,2022-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,2022-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,2022-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,2022-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,2022-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0
1158,2022-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0
1159,2022-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,2022-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,2022-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,2022-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0
1163,2022-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0
1164,2022-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,2022-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,2022-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1167,2022-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,2022-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0
1169,2022-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,2022-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,2022-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,2022-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0
1173,2022-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,2022-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0
